,tic_id,RA,Dec,Tmag,Period,Epoc,Transit_Depth,Duration,Sectors,Camera,CCD,star_rad,star_mass,teff,logg,SN,Qingress
18612,136323351,305.465167379,36.7552742152,12.3988,2.149322,1684.220003,0.00505,0.15580435178000002,15,1,2,,,,,19.49301,0.2298
18616,136323780,305.492153323,36.7338762395,12.885,0.145155,1683.774918,0.00556,0.0587326161,15,1,2,2.02599,2.85,10927.0,4.27964,56.46618,-0.70693
18621,136323964,305.52899289,36.6691526767,10.7727,1.035433,1684.10685,0.00146,0.11696251168,15,1,2,1.99148,1.42,6700.0,3.992,12.06137,0.16937
18639,136324649,305.520870449,36.5439308091,12.8356,0.897933,1683.922777,0.00852,0.09989504625,15,1,2,1.49204,1.58,7118.0,4.28916,14.45296,0.2083
18679,136326390,305.458129083,36.2029303095,10.1425,10.266643,1683.87462,0.0015,0.10030510210999999,15,1,2,1.62924,1.755,7567.0,4.25837,11.65183,0.21221
18681,136326472,305.490640912,36.1787582619,12.1891,0.998628,1684.440908,0.00192,0.22905530436,15,1,2,2.16142,1.33,6502.0,3.89244,13.64478,0.22928
18716,136327891,305.474672794,35.9974938043,10.8858,12.991731,1690.187268,0.00251,0.21007629027,15,1,2,2.96698,1.47,6823.0,3.66076,9.33795,0.21867
18735,136329149,305.642101784,35.9265564799,12.6866,6.663218,1687.441322,0.0042,0.17450967942,15,1,2,11.1974,,4597.0,,10.72375,0.20897
18744,136329694,305.57679289,36.0035445085,12.2064,0.540989,1683.776538,0.00241,0.06359325695000001,15,1,2,0.708977,0.675,4317.0,4.56611,15.53234,0.3581
18758,136330322,305.577957312,36.0878320075,12.3654,3.719243,1686.787894,0.00074,0.14650098177,15,1,2,15.9278,,4703.0,,10.77084,0.23112
18763,136330469,305.572680297,36.1207300109,12.0376,3.717501,1686.825414,0.00151,0.12910880973,15,1,2,1.85058,1.41,6673.0,4.05267,9.8103,0.2034
18781,136331107,305.671511868,36.2442395427,11.9667,0.341683,1683.753968,0.00455,0.04495523231,15,1,2,13.8837,,5594.0,,15.85884,0.04777
18785,136331421,305.606773092,36.2680418436,11.2492,0.634044,1684.198691,0.00055,0.05060305164000001,15,1,2,12.7081,,4648.0,,9.33944,0.16497
18790,136331560,305.609730142,36.3008735976,12.5211,0.634044,1683.722679,0.00951,0.06897130632000001,15,1,2,2.54728,1.73,7509.0,3.86396,15.9824,0.23856
18794,136331719,305.681697447,36.3365107401,11.1281,1.184044,1684.373735,0.02982,0.2484124312,15,1,2,31.6135,,3689.0,,35.20311,0.36909
18796,136331796,305.648030681,36.3443948119,10.223,0.492378,1683.758226,0.00273,0.14478375089999998,15,1,2,,,,,23.60173,-0.64041
18811,136332711,305.652609427,36.4838926962,12.8637,0.24585,1683.805442,0.00206,0.09717958800000001,15,1,2,11.0029,,4491.0,,47.76477,-0.41815
18819,136332976,305.664196,36.548512,12.158,0.659739,1684.252661,0.00922,0.06458185071,15,1,2,,,,,18.32664,0.18663
18820,136332990,305.62997809,36.5492426043,12.9613,0.659044,1684.286534,0.00368,0.16207210047999998,15,1,2,14.6053,,4997.0,,20.99301,0.38237
18872,136389599,305.681493806,36.8782741121,11.7542,0.349322,1684.009201,0.05081,0.042638243320000005,15,1,2,,,3253.0,,13.72315,0.23388
18874,136389684,305.575797066,36.8989558785,11.3329,0.349322,1684.009424,0.00537,0.04249152808,15,1,2,1.34654,1.092,5959.0,4.21785,14.075,0.20184
18877,136389823,305.602290221,36.9133724511,12.5461,0.349322,1684.008663,0.00254,0.03662990492,15,1,2,,,,,10.61726,0.16009
18891,136390322,305.642470924,36.9656053457,10.9637,0.801405,1684.091915,0.12007,0.12492301139999999,15,1,2,,,,,122.5008,0.39546
18892,136390344,305.599964408,36.9672481161,11.8529,0.801405,1684.092086,0.01805,0.12411359235000001,15,1,2,9.15874,,9395.0,,73.52545,0.41315
18893,136390364,305.604158575,36.9785073116,12.9991,0.801405,1684.091863,0.06943,0.12707879084999998,15,1,2,5.94742,,5099.02,,148.13291,0.4001
18901,136391006,305.613236887,37.0442866644,11.2262,0.434044,1684.002212,0.00219,0.08705620507999999,15,1,2,90.0088,,3677.0,,14.0229,0.01569
18903,136391011,305.573744936,37.0805467914,10.6996,0.868072,1684.007158,0.00366,0.12738956599999998,15,1,2,2.43215,1.74,7531.0,3.90664,12.0044,0.41229
18908,136391117,305.598935991,37.1282490754,12.9997,0.434044,1684.00683,0.00595,0.08272010552,15,1,2,1.34056,2.14,8581.0,4.51391,20.17382,-0.02829
