#             ID,KIC,Period,T0-2454900,Duration,Depth,DISP,KepMag,P1/P2,dT0/P,Pmatch(σ),Tmatch(σ),Dmatch(σ),"Sep("")",Chan0,Mod0,Out0,Row0,Col0,Chan1,Mod1,Out1,Row1,Col1,Chan2,Mod2,Out2,Row2,Col2,Chan3,Mod3,Out3,Row3,Col3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4866.01,7117355,0.566775,64.8393,2.4,0.000039,KOI,14.895,1,114,3.769,2.017,1,946.7,21,8,1,269,750,37,12,1,265,750,61,18,1,265,746,45,14,1,272,744
RR-Lyr-pri,7198959,0.566868,0.202178,0,0.623296,GEB,7.862,1,-114,3.769,2.241,1,946.7,21,8,1,49,660,37,12,1,44,659,61,18,1,45,655,45,14,1,51,654
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4518.01,7032001,0.566793,64.8085,2.4,0.000042,KOI,14.844,1,114,3.823,2.451,1,919,21,8,1,206,490,37,12,1,201,490,61,18,1,202,486,45,14,1,209,485
RR-Lyr-pri,7198959,0.566868,0.202178,0,0.623296,GEB,7.862,1,-114,3.823,2.179,1,919,21,8,1,49,660,37,12,1,44,659,61,18,1,45,655,45,14,1,51,654
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3055.01,7281454,0.566806,64.8164,1.1509,0.000106,KOI,14.648,1,114,3.87,2.975,1,684.5,21,8,1,72,830,37,12,1,67,830,61,18,1,68,826,45,14,1,74,824
RR-Lyr-pri,7198959,0.566868,0.202178,0,0.623296,GEB,7.862,1,-114,3.87,2.424,1,684.5,21,8,1,49,660,37,12,1,44,659,61,18,1,45,655,45,14,1,51,654
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
