Type,FPKOI,FPKIC,Name,KIC,PRatio,Dist,DelRow,DelCol,m2mag,DelMag,DRatio,Flag
Direct PRF,4003.01,2708420,UZ-Lyr-pri,2708156,1:1,187.9,16,45,10.67,3.24,7.00E+03,0
Direct PRF,4006.01,5471690,V380-Cyg-sec,5385723,1:1,241.2,10,60,5.77,7.1,5.16E+03,0
Direct PRF,4010.01,5288577,005288543-pri,5288543,1:2,25.8,0,-7,13.59,0.01,1.49E+03,0
Direct PRF,4013.01,4832225,004832197-pri,4832197,1:2,39,-10,-1,11.51,-2.44,1.02E+02,1
Direct PRF,4023.01,6862332,865.01,6862328,3:1,5,1,0,15.09,0.56,2.11E+00,0
Direct PRF,4025.01,10992011,010991989-pri,10991989,1:1,20.3,-4,1,10.28,4.37,3.62E+01,0
Direct PRF,4028.01,7818447,007818448-pri,7818448,1:1,12.5,2,3,13.89,-0.3,1.06E+01,0
Direct PRF,4031.01,3228986,V404-Lyr-pri,3228863,1:1,80.4,11,17,11.82,2.37,5.43E+03,0
Direct PRF,4035.01,3247404,121.01,3247396,1:1,6.8,-2,0,12.76,5.77,2.07E-02,1
Direct PRF,4041.01,8647295,008647309-pri,8647309,1:1,7.7,-1,-2,16.63,-2.04,1.73E+02,0
